iter	Passed	Remaining
0	2	2954
1	5	2690
2	7	2588
3	9	2489
4	11	2371
5	14	2324
6	16	2270
7	17	2230
8	19	2197
9	22	2228
10	24	2216
11	26	2184
12	28	2173
13	30	2159
14	32	2146
15	34	2135
16	37	2154
17	39	2149
18	41	2151
19	43	2146
20	45	2127
21	47	2112
22	49	2112
23	51	2112
24	54	2112
25	56	2105
26	58	2090
27	59	2078
28	61	2066
29	63	2059
30	65	2056
31	67	2052
32	69	2050
33	71	2041
34	73	2030
35	75	2025
36	77	2029
37	80	2028
38	82	2023
39	83	2015
40	85	2011
41	87	2004
42	90	2003
43	91	1997
44	94	1996
45	96	1993
46	98	1993
47	100	1989
48	102	1986
49	104	1980
50	106	1977
51	108	1977
52	110	1976
53	112	1971
54	114	1966
55	116	1964
56	118	1957
57	120	1952
58	122	1948
59	123	1942
60	125	1935
61	127	1928
62	129	1927
63	131	1923
64	133	1920
65	135	1916
66	137	1912
67	139	1906
68	140	1900
69	142	1899
70	144	1895
71	146	1893
72	148	1889
73	150	1885
74	152	1879
75	154	1878
76	156	1876
77	158	1874
78	161	1877
79	163	1878
80	166	1885
81	169	1895
82	172	1900
83	174	1905
84	177	1908
85	179	1909
86	182	1913
87	184	1915
88	195	1997
89	197	1992
90	199	1988
91	201	1983
92	202	1979
93	204	1975
94	206	1970
95	208	1967
96	210	1962
97	212	1957
98	214	1952
99	216	1948
100	218	1947
101	220	1945
102	223	1942
103	224	1936
104	226	1931
105	228	1925
106	230	1921
107	232	1917
108	234	1914
109	236	1910
110	238	1906
111	240	1903
112	242	1899
113	244	1897
114	246	1895
115	248	1894
116	250	1890
117	252	1885
118	254	1881
119	256	1878
120	258	1874
121	260	1874
122	262	1870
123	264	1866
124	266	1862
125	267	1858
126	269	1853
127	271	1851
128	274	1851
129	276	1847
130	277	1843
131	279	1839
132	281	1835
133	283	1832
134	285	1829
135	287	1827
136	289	1825
137	291	1822
138	293	1820
139	296	1818
140	297	1814
141	300	1813
142	301	1809
143	303	1806
144	305	1804
145	308	1801
146	310	1801
147	313	1803
148	315	1799
149	317	1797
150	319	1794
151	321	1792
152	323	1790
153	325	1790
154	327	1788
155	329	1784
156	331	1781
157	333	1779
158	335	1776
159	367	1928
160	369	1927
161	372	1926
162	375	1928
163	377	1926
164	380	1923
165	382	1919
166	384	1915
167	386	1913
168	388	1909
169	390	1905
170	392	1902
171	394	1897
172	395	1892
173	397	1889
174	399	1885
175	401	1881
176	403	1876
177	405	1872
178	407	1869
179	409	1865
180	411	1862
181	413	1858
182	415	1854
183	417	1850
184	419	1847
185	421	1843
186	423	1839
187	424	1835
188	427	1832
189	428	1828
190	430	1824
191	432	1820
192	434	1816
193	436	1812
194	438	1809
195	440	1806
196	442	1802
197	444	1799
198	446	1797
199	448	1793
200	450	1789
201	452	1786
202	454	1783
203	456	1780
204	458	1777
205	460	1773
206	461	1769
207	463	1765
208	466	1763
209	468	1762
210	470	1759
211	472	1756
212	474	1753
213	476	1751
214	479	1750
215	481	1748
216	484	1746
217	486	1745
218	488	1743
219	491	1741
220	493	1738
221	495	1735
222	497	1733
223	499	1729
224	501	1728
225	503	1726
226	506	1724
227	508	1722
228	511	1720
229	513	1717
230	515	1715
231	516	1711
232	518	1708
233	520	1705
234	523	1702
235	525	1700
236	527	1697
237	529	1694
238	531	1691
239	533	1688
240	535	1686
241	537	1683
242	539	1680
243	541	1677
244	543	1674
245	545	1672
246	547	1669
247	551	1670
248	553	1670
249	556	1669
250	559	1668
251	562	1668
252	564	1667
253	567	1666
254	569	1664
255	571	1661
256	574	1660
257	577	1661
258	580	1659
259	582	1657
260	584	1655
261	587	1653
262	590	1654
263	592	1653
264	595	1651
265	597	1649
266	599	1647
267	602	1645
268	605	1644
269	607	1641
270	609	1639
271	611	1637
272	614	1635
273	616	1633
274	618	1630
275	620	1627
276	622	1625
277	624	1622
278	626	1619
279	629	1618
280	631	1617
281	633	1614
282	635	1611
283	637	1608
284	639	1605
285	658	1643
286	660	1640
287	662	1637
288	664	1635
289	666	1631
290	668	1628
291	670	1626
292	673	1624
293	675	1621
294	677	1618
295	679	1616
296	681	1613
297	683	1611
298	686	1608
299	688	1606
300	690	1603
301	692	1601
302	695	1598
303	697	1596
304	699	1593
305	701	1590
306	703	1588
307	705	1584
308	707	1582
309	709	1580
310	712	1577
311	714	1574
312	716	1572
313	718	1568
314	720	1567
315	722	1564
316	725	1562
317	727	1560
318	729	1557
319	732	1556
320	734	1553
321	736	1550
322	738	1548
323	741	1546
324	743	1543
325	745	1541
326	747	1539
327	750	1537
328	752	1534
329	755	1533
330	757	1530
331	759	1528
332	761	1526
333	764	1524
334	766	1522
335	768	1519
336	772	1519
337	775	1518
338	777	1516
339	780	1515
340	782	1513
341	785	1510
342	787	1508
343	789	1506
344	792	1503
345	794	1502
346	797	1500
347	799	1498
348	801	1495
349	804	1493
350	806	1491
351	808	1488
352	810	1486
353	813	1483
354	815	1480
355	817	1478
356	819	1476
357	821	1473
358	824	1472
359	826	1469
360	828	1467
361	831	1465
362	833	1463
363	836	1460
364	838	1458
365	840	1455
366	842	1453
367	844	1450
368	846	1448
369	848	1445
370	851	1442
371	853	1440
372	855	1437
373	857	1434
374	859	1432
375	861	1429
376	863	1427
377	866	1425
378	868	1422
379	870	1420
380	872	1418
381	875	1415
382	877	1413
383	879	1410
384	881	1408
385	883	1406
386	886	1403
387	888	1401
388	890	1398
389	892	1396
390	894	1393
391	897	1391
392	899	1389
393	901	1386
394	903	1384
395	905	1381
396	907	1378
397	910	1376
398	912	1374
399	914	1372
400	916	1369
401	918	1366
402	920	1364
403	923	1362
404	925	1359
405	927	1356
406	929	1354
407	931	1351
408	933	1349
409	936	1347
410	938	1345
411	940	1342
412	943	1340
413	945	1338
414	948	1336
415	950	1334
416	953	1332
417	955	1330
418	957	1328
419	960	1325
420	962	1323
421	964	1321
422	966	1318
423	968	1315
424	971	1313
425	973	1311
426	975	1309
427	977	1306
428	979	1304
429	981	1301
430	983	1298
431	985	1296
432	988	1293
433	990	1291
434	992	1288
435	994	1286
436	996	1283
437	997	1280
438	999	1277
439	1001	1274
440	1003	1272
441	1005	1269
442	1007	1266
443	1009	1264
444	1011	1261
445	1013	1258
446	1015	1256
447	1017	1253
448	1019	1250
449	1021	1247
450	1022	1245
451	1024	1242
452	1026	1239
453	1028	1236
454	1030	1233
455	1031	1230
456	1033	1228
457	1035	1225
458	1037	1222
459	1039	1219
460	1041	1217
461	1042	1214
462	1044	1211
463	1046	1209
464	1048	1206
465	1050	1203
466	1051	1200
467	1053	1197
468	1055	1194
469	1057	1192
470	1058	1189
471	1060	1186
472	1062	1184
473	1065	1182
474	1067	1179
475	1068	1176
476	1071	1174
477	1073	1172
478	1075	1170
479	1078	1168
480	1080	1165
481	1082	1163
482	1084	1161
483	1086	1158
484	1088	1156
485	1090	1153
486	1092	1150
487	1094	1148
488	1096	1145
489	1098	1143
490	1100	1140
491	1102	1138
492	1104	1135
493	1105	1132
494	1107	1129
495	1109	1127
