id,value
1,51104205.073202
2,87467707.20477934
4,80457123.398605
5,81677499.68357664
6,62410560.726635754
10,71066670.10288392
11,62273066.66511526
15,79729050.30636452
17,71629178.48634739
23,63114677.42892256
25,75140187.92638756
28,66435405.883921936
31,76885153.90182202
35,46656364.8979985
39,21028895.61459454
40,25356970.22470848
43,68484010.09777266
48,54761743.60057491
51,36935087.15111541
55,61436364.70012051
56,60498638.03211454
57,41102302.95947926
61,51822486.06697116
62,52750882.1943772
69,41010784.12383847
70,29663971.68884964
71,37847836.82261842
74,47292097.67843653
80,52323774.08345148
82,47070863.648062
84,45786672.11729962
85,40445142.303920336
88,40944712.9814629
90,36393113.97066207
91,35862037.871635936
95,29415889.06142938
101,35686471.2160723
104,14868922.60195111
111,31673488.960456863
113,31672477.24105039
116,45772485.74149453
120,37739669.4800754
122,40156235.02209652
130,29521181.51956556
136,35144535.188753456
138,28718200.978895284
141,22187787.171100147
144,28293970.10098912
146,23785632.799940545
147,20089993.730984766
150,18813641.39351752
151,29671261.109364793
152,5814324.411291719
158,22476704.144539792
159,28097079.85850731
160,28457323.39660926
162,31914694.266589038
168,29825720.44133105
172,28272329.242017336
177,27028024.02114419
181,27253025.073467877
183,36271410.508119166
184,35748120.8744037
186,29387120.647174682
187,30587289.07303033
192,28866792.725499265
193,29973408.590599585
194,22803693.53892022
200,24022015.934179682
201,12502408.659309769
204,25231101.614844806
206,28392705.70504786
208,25358337.815622628
219,19744357.685643736
221,10495274.044440193
227,27936176.116939276
231,6740764.3244568445
233,28457914.451328263
235,26000965.923753235
237,20200080.45938885
238,25041843.042550873
239,24631871.771217324
255,20514280.589017525
258,20758254.648428127
260,22802316.090877634
272,22271000.7608944
273,19809439.2441742
275,25354473.08334691
279,19360607.915535916
281,22081103.86563324
284,21347699.864362307
286,20121983.31791758
292,19079149.26627507
300,12345394.314734252
301,11791710.217514765
303,14601077.054290982
304,19856855.214991946
315,8234414.997842479
318,1937193.1480864342
320,17050136.47616776
322,20458844.342123065
323,25261619.101619005
326,24911347.529819496
328,24541076.138017338
337,22019352.694559123
339,20018133.624736447
342,19778046.075502425
343,24405002.750001945
360,17204445.29678023
364,20533403.43120251
365,17446472.38112813
367,19838835.392555904
368,16027024.932442209
369,13149004.668554487
372,16134175.609788023
376,20124609.793980774
379,17357961.064314056
380,22533811.226647303
383,15660484.746001747
385,10385910.617950391
386,14020715.639732117
390,16051179.501548896
391,15829878.799548894
393,16153273.464339394
400,9051529.442474343
403,8092549.843504361
413,21896745.929984167
416,20237850.490654554
423,15453932.170126645
424,17308486.22109383
426,14068009.417268919
427,19303687.6021471
428,13468881.268626163
429,19249836.66660419
431,11881592.937170682
432,17639563.221234422
433,17209166.628346253
439,8775605.698278889
443,16220796.36031894
444,19741397.74366179
446,19283282.0155908
449,19086156.152463824
456,17246141.742700033
457,13420214.866258256
464,14156160.945515323
468,17767148.929283407
472,12288656.928046348
474,16199604.777946632
483,11934150.332991458
488,13281520.139434801
494,13002555.181668432
499,9039421.51566216
505,11854672.008809298
506,14328170.907746958
510,13037224.483991984
511,10754453.018660402
512,6086411.9405173175
517,9870917.1292533
521,13076412.306861935
522,8755809.304416949
523,12699386.648180665
526,11345027.08513122
531,9870917.1292533
540,2089114.1962325147
547,5997215.412816441
555,17774929.630467452
556,18178499.829502493
563,3828544.084876345
564,18093009.119116426
566,9820691.880146986
573,9348106.01655264
574,17478795.50307685
581,16981369.00214426
588,12182209.570959913
590,15560252.662285421
591,15819770.808027608
595,15104788.13755779
596,13557589.304155884
597,16762357.238043204
599,14228607.547114236
600,10264572.658957623
602,11542963.008684522
603,13928320.433250735
606,15806739.87773028
613,11066533.829734832
615,12032094.738765921
620,16371357.701373242
623,11793235.541213198
624,10178759.56592625
628,10450407.942520143
630,12865287.698863534
635,14580960.684288343
636,13506119.881416433
638,15834232.965557272
662,10078103.867111191
664,11149092.269416817
665,10399584.9452645
670,13017534.024313644
672,12168340.77554067
677,12300206.46839977
680,11263012.948086375
695,8760027.01162635
705,8358760.241600713
713,5355987.230543559
716,3674002.9575467394
717,6128685.321166878
720,13556906.341417849
723,13007867.596866358
725,15910564.644833073
731,7830190.592103441
733,7728988.919184879
734,12365704.117638323
738,13335275.179437296
740,11684691.055371793
743,13530160.027659519
747,13477985.750753878
750,12946562.749144344
752,11877309.155309133
753,8877307.440494647
756,10412594.066978518
758,9991586.078788372
768,15863010.616745025
770,11552349.00376823
772,9357185.30460899
773,11065620.007515524
791,12656088.370515287
793,13773782.220575435
794,9801121.964521056
798,11539748.017542852
799,8599390.499174017
801,14321620.35592166
804,13848253.71042662
805,12603233.043652931
811,10294003.58254788
822,11432089.285204474
824,11791733.516741348
827,11083980.731347842
828,10281682.677670542
832,10423786.971995413
837,11940022.944087466
844,9881124.027110785
851,8899945.630618619
852,9599866.474932067
854,9949276.985769875
856,11788277.849529926
860,10297319.920004101
867,6395859.174839369
877,9553042.689571034
880,6434172.508401849
883,9866235.623503234
885,7843450.055304188
889,11181210.83426134
891,7267380.39970765
894,3671320.179259601
897,9619680.530048287
